salsah-id,salsah-url,dsp-url,dsp-iiif-image-api,dsp-iiif-image-api-info,dsp-iiif-image-api-full,signature,former-number,filename,bemerkungen
435663,https://data.dasch.swiss/resources/435663,,,,,SGV_12N_13428,,sgv.dir/images/SGV_12N_13428.TIF,Bild fehlt auf der Festplatte.
435664,https://data.dasch.swiss/resources/435664,,,,,SGV_12N_13429,,sgv.dir/images/SGV_12N_13429.TIF,Bild fehlt auf der Festplatte.
435665,https://data.dasch.swiss/resources/435665,,,,,SGV_12N_13430,,sgv.dir/images/SGV_12N_13430.TIF,Bild fehlt auf der Festplatte.
435666,https://data.dasch.swiss/resources/435666,,,,,SGV_12N_13431,,sgv.dir/images/SGV_12N_13431.TIF,Bild fehlt auf der Festplatte.
435667,https://data.dasch.swiss/resources/435667,,,,,SGV_12N_13432,,sgv.dir/images/SGV_12N_13432.TIF,Bild fehlt auf der Festplatte.
435668,https://data.dasch.swiss/resources/435668,,,,,SGV_12N_13433,,sgv.dir/images/SGV_12N_13433.TIF,Bild fehlt auf der Festplatte.
435669,https://data.dasch.swiss/resources/435669,,,,,SGV_12N_13434,,sgv.dir/images/SGV_12N_13434.TIF,Bild fehlt auf der Festplatte.
435670,https://data.dasch.swiss/resources/435670,,,,,SGV_12N_13435,,sgv.dir/images/SGV_12N_13435.TIF,Bild fehlt auf der Festplatte.
435671,https://data.dasch.swiss/resources/435671,,,,,SGV_12N_13436,,sgv.dir/images/SGV_12N_13436.TIF,Bild fehlt auf der Festplatte.
435672,https://data.dasch.swiss/resources/435672,,,,,SGV_12N_13437,,sgv.dir/images/SGV_12N_13437.TIF,Bild fehlt auf der Festplatte.
435673,https://data.dasch.swiss/resources/435673,,,,,SGV_12N_13438,,sgv.dir/images/SGV_12N_13438.TIF,Bild fehlt auf der Festplatte.
435674,https://data.dasch.swiss/resources/435674,,,,,SGV_12N_13439,,sgv.dir/images/SGV_12N_13439.TIF,Bild fehlt auf der Festplatte.
435675,https://data.dasch.swiss/resources/435675,,,,,SGV_12N_13440,,sgv.dir/images/SGV_12N_13440.TIF,Bild fehlt auf der Festplatte.
435676,https://data.dasch.swiss/resources/435676,,,,,SGV_12N_13441,,sgv.dir/images/SGV_12N_13441.TIF,Bild fehlt auf der Festplatte.
435677,https://data.dasch.swiss/resources/435677,,,,,SGV_12N_13442,,sgv.dir/images/SGV_12N_13442.TIF,Bild fehlt auf der Festplatte.
435678,https://data.dasch.swiss/resources/435678,,,,,SGV_12N_13443,,sgv.dir/images/SGV_12N_13443.TIF,Bild fehlt auf der Festplatte.
435679,https://data.dasch.swiss/resources/435679,,,,,SGV_12N_13444,,sgv.dir/images/SGV_12N_13444.TIF,Bild fehlt auf der Festplatte.
435680,https://data.dasch.swiss/resources/435680,,,,,SGV_12N_13445,,sgv.dir/images/SGV_12N_13445.TIF,Bild fehlt auf der Festplatte.
435681,https://data.dasch.swiss/resources/435681,,,,,SGV_12N_13446,,sgv.dir/images/SGV_12N_13446.TIF,Bild fehlt auf der Festplatte.
435682,https://data.dasch.swiss/resources/435682,,,,,SGV_12N_13447,,sgv.dir/images/SGV_12N_13447.TIF,Bild fehlt auf der Festplatte.
435683,https://data.dasch.swiss/resources/435683,,,,,SGV_12N_13448,,sgv.dir/images/SGV_12N_13448.TIF,Bild fehlt auf der Festplatte.
435684,https://data.dasch.swiss/resources/435684,,,,,SGV_12N_13449,,sgv.dir/images/SGV_12N_13449.TIF,Bild fehlt auf der Festplatte.
435685,https://data.dasch.swiss/resources/435685,,,,,SGV_12N_13450,,sgv.dir/images/SGV_12N_13450.TIF,Bild fehlt auf der Festplatte.
435686,https://data.dasch.swiss/resources/435686,,,,,SGV_12N_13451,,sgv.dir/images/SGV_12N_13451.TIF,Bild fehlt auf der Festplatte.
435687,https://data.dasch.swiss/resources/435687,,,,,SGV_12N_13452,,sgv.dir/images/SGV_12N_13452.TIF,Bild fehlt auf der Festplatte.
435688,https://data.dasch.swiss/resources/435688,,,,,SGV_12N_13453,,sgv.dir/images/SGV_12N_13453.TIF,Bild fehlt auf der Festplatte.
435689,https://data.dasch.swiss/resources/435689,,,,,SGV_12N_13454,,sgv.dir/images/SGV_12N_13454.TIF,Bild fehlt auf der Festplatte.
435690,https://data.dasch.swiss/resources/435690,,,,,SGV_12N_13455,,sgv.dir/images/SGV_12N_13455.TIF,Bild fehlt auf der Festplatte.
435691,https://data.dasch.swiss/resources/435691,,,,,SGV_12N_13456,,sgv.dir/images/SGV_12N_13456.TIF,Bild fehlt auf der Festplatte.
435692,https://data.dasch.swiss/resources/435692,,,,,SGV_12N_13457,,sgv.dir/images/SGV_12N_13457.TIF,Bild fehlt auf der Festplatte.
435693,https://data.dasch.swiss/resources/435693,,,,,SGV_12N_13458,,sgv.dir/images/SGV_12N_13458.TIF,Bild fehlt auf der Festplatte.
435694,https://data.dasch.swiss/resources/435694,,,,,SGV_12N_13459,,sgv.dir/images/SGV_12N_13459.TIF,Bild fehlt auf der Festplatte.
435695,https://data.dasch.swiss/resources/435695,,,,,SGV_12N_13460,,sgv.dir/images/SGV_12N_13460.TIF,Bild fehlt auf der Festplatte.
435696,https://data.dasch.swiss/resources/435696,,,,,SGV_12N_13461,,sgv.dir/images/SGV_12N_13461.TIF,Bild fehlt auf der Festplatte.
435697,https://data.dasch.swiss/resources/435697,,,,,SGV_12N_13462,,sgv.dir/images/SGV_12N_13462.TIF,Bild fehlt auf der Festplatte.
435698,https://data.dasch.swiss/resources/435698,,,,,SGV_12N_13463,,sgv.dir/images/SGV_12N_13463.TIF,Bild fehlt auf der Festplatte.
435699,https://data.dasch.swiss/resources/435699,,,,,SGV_12N_13464,,sgv.dir/images/SGV_12N_13464.TIF,Bild fehlt auf der Festplatte.
435779,https://data.dasch.swiss/resources/435779,,,,,SGV_12N_13544,,sgv.dir/images/SGV_12N_13544.tif,Bild fehlt auf der Festplatte.
437475,https://data.dasch.swiss/resources/437475,,,,,SGV_12N_15240,,sgv.dir/images/SGV_12N_15240.tif,Bild fehlt auf der Festplatte.
