id, signature, date
422543,SGV_12N_00308,GREGORIAN:CE:1937-05-06
422544,SGV_12N_00309,GREGORIAN:CE:1937-05-06
422545,SGV_12N_00310,GREGORIAN:CE:1937-05-06
422546,SGV_12N_00311,GREGORIAN:CE:1937-05-06
422547,SGV_12N_00312,GREGORIAN:CE:1937-05-06
422548,SGV_12N_00313,GREGORIAN:CE:1937-05-06
422549,SGV_12N_00314,GREGORIAN:CE:1937-05-06
422550,SGV_12N_00315,GREGORIAN:CE:1937-05-06
422551,SGV_12N_00316,GREGORIAN:CE:1937-05-06
422552,SGV_12N_00317,GREGORIAN:CE:1937-05-06
422553,SGV_12N_00318,GREGORIAN:CE:1937-05-06
422554,SGV_12N_00319,GREGORIAN:CE:1937-05-06
422555,SGV_12N_00320,GREGORIAN:CE:1937-05-06
422556,SGV_12N_00321,GREGORIAN:CE:1937-05-06
422557,SGV_12N_00322,GREGORIAN:CE:1937-05-06
422558,SGV_12N_00323,GREGORIAN:CE:1937-05-06
422559,SGV_12N_00324,GREGORIAN:CE:1937-05-06
422560,SGV_12N_00325,
422561,SGV_12N_00326,GREGORIAN:CE:1937-05-06
422562,SGV_12N_00327,GREGORIAN:CE:1937-05-06
422563,SGV_12N_00328,GREGORIAN:CE:1937-05-06
422564,SGV_12N_00329,GREGORIAN:CE:1937-05-06
422565,SGV_12N_00330,GREGORIAN:CE:1937-05-06
422566,SGV_12N_00331,GREGORIAN:CE:1937-05-06
422567,SGV_12N_00332,GREGORIAN:CE:1937-05-06
422568,SGV_12N_00333,GREGORIAN:CE:1937-05-06
422569,SGV_12N_00334,GREGORIAN:CE:1937-05-06
422570,SGV_12N_00335,GREGORIAN:CE:1937-05-06
422571,SGV_12N_00336,GREGORIAN:CE:1937-05-06
422572,SGV_12N_00337,
422573,SGV_12N_00338,
422574,SGV_12N_00339,GREGORIAN:CE:1938
422575,SGV_12N_00340,GREGORIAN:CE:1938
422576,SGV_12N_00341,
422577,SGV_12N_00342,
422578,SGV_12N_00343,
422579,SGV_12N_00344,
422580,SGV_12N_00345,GREGORIAN:CE:1938
422581,SGV_12N_00346,GREGORIAN:CE:1938
422582,SGV_12N_00347,
422583,SGV_12N_00348,
422584,SGV_12N_00349,
422585,SGV_12N_00350,
422586,SGV_12N_00351,
422587,SGV_12N_00352,GREGORIAN:CE:1938
422588,SGV_12N_00353,
422589,SGV_12N_00354,
422590,SGV_12N_00355,GREGORIAN:CE:1938
422591,SGV_12N_00356,
422592,SGV_12N_00357,GREGORIAN:CE:1938
422593,SGV_12N_00358,
422594,SGV_12N_00359,
422595,SGV_12N_00360,
422596,SGV_12N_00361,
422597,SGV_12N_00362,
422598,SGV_12N_00363,GREGORIAN:CE:1938
422599,SGV_12N_00364,
422600,SGV_12N_00365,
422601,SGV_12N_00366,
422602,SGV_12N_00367,
422603,SGV_12N_00368,
422604,SGV_12N_00369,
422605,SGV_12N_00370,
422606,SGV_12N_00371,
422607,SGV_12N_00372,
422608,SGV_12N_00373,
422609,SGV_12N_00374,
422610,SGV_12N_00375,
422611,SGV_12N_00376,
422612,SGV_12N_00377,
422613,SGV_12N_00378,
422614,SGV_12N_00379,
422615,SGV_12N_00380,
422616,SGV_12N_00381,
422617,SGV_12N_00382,
422618,SGV_12N_00383,
422619,SGV_12N_00384,
422620,SGV_12N_00385,
422621,SGV_12N_00386,
422622,SGV_12N_00387,
422623,SGV_12N_00388,
422624,SGV_12N_00389,
422625,SGV_12N_00390,
422626,SGV_12N_00391,
422627,SGV_12N_00392,
422628,SGV_12N_00393,
422629,SGV_12N_00394,
422630,SGV_12N_00395,
422631,SGV_12N_00396,
422632,SGV_12N_00397,
422633,SGV_12N_00398,
422634,SGV_12N_00399,
422635,SGV_12N_00400,
422636,SGV_12N_00401,
422637,SGV_12N_00402,
422638,SGV_12N_00403,
422639,SGV_12N_00404,
422640,SGV_12N_00405,
422641,SGV_12N_00406,
422642,SGV_12N_00407,
422643,SGV_12N_00408,
422644,SGV_12N_00409,
422645,SGV_12N_00410,
422646,SGV_12N_00411,
422647,SGV_12N_00412,
422648,SGV_12N_00413,
422649,SGV_12N_00414,
422650,SGV_12N_00415,
422651,SGV_12N_00416,
422652,SGV_12N_00417,
422653,SGV_12N_00418,
422654,SGV_12N_00419,
422655,SGV_12N_00420,
422656,SGV_12N_00421,
422657,SGV_12N_00422,
422658,SGV_12N_00423,
422659,SGV_12N_00424,
422660,SGV_12N_00425,
422661,SGV_12N_00426,
422662,SGV_12N_00427,
422663,SGV_12N_00428,
422664,SGV_12N_00429,
422665,SGV_12N_00430,
422666,SGV_12N_00431,
422667,SGV_12N_00432,
422668,SGV_12N_00433,
422669,SGV_12N_00434,
422670,SGV_12N_00435,
422671,SGV_12N_00436,
422672,SGV_12N_00437,
422673,SGV_12N_00438,
422674,SGV_12N_00439,
422675,SGV_12N_00440,
422676,SGV_12N_00441,
422677,SGV_12N_00442,
422678,SGV_12N_00443,
422679,SGV_12N_00444,
422680,SGV_12N_00445,
422681,SGV_12N_00446,
422682,SGV_12N_00447,
422683,SGV_12N_00448,
422684,SGV_12N_00449,
422685,SGV_12N_00450,
422686,SGV_12N_00451,
422687,SGV_12N_00452,
422688,SGV_12N_00453,
422689,SGV_12N_00454,
422690,SGV_12N_00455,
422691,SGV_12N_00456,
422692,SGV_12N_00457,
422693,SGV_12N_00458,
422694,SGV_12N_00459,
422695,SGV_12N_00460,
422696,SGV_12N_00461,
422697,SGV_12N_00462,
422698,SGV_12N_00463,
422699,SGV_12N_00464,
422700,SGV_12N_00465,
422701,SGV_12N_00466,
422702,SGV_12N_00467,
422703,SGV_12N_00468,
422704,SGV_12N_00469,
422705,SGV_12N_00470,
422706,SGV_12N_00471,GREGORIAN:CE:1938
422707,SGV_12N_00472,GREGORIAN:CE:1938
422708,SGV_12N_00473,GREGORIAN:CE:1938
422709,SGV_12N_00474,GREGORIAN:CE:1938
422710,SGV_12N_00475,GREGORIAN:CE:1938
422711,SGV_12N_00476,GREGORIAN:CE:1938
422712,SGV_12N_00477,GREGORIAN:CE:1938
422713,SGV_12N_00478,GREGORIAN:CE:1938
422714,SGV_12N_00479,GREGORIAN:CE:1938
422715,SGV_12N_00480,GREGORIAN:CE:1938
422716,SGV_12N_00481,GREGORIAN:CE:1938
422717,SGV_12N_00482,GREGORIAN:CE:1938
422718,SGV_12N_00483,GREGORIAN:CE:1938
422719,SGV_12N_00484,GREGORIAN:CE:1938
422720,SGV_12N_00485,GREGORIAN:CE:1938
422721,SGV_12N_00486,GREGORIAN:CE:1938
422722,SGV_12N_00487,GREGORIAN:CE:1938
422723,SGV_12N_00488,GREGORIAN:CE:1938
422724,SGV_12N_00489,GREGORIAN:CE:1938
422725,SGV_12N_00490,
422726,SGV_12N_00491,
422727,SGV_12N_00492,
422728,SGV_12N_00493,
422729,SGV_12N_00494,
422730,SGV_12N_00495,
422731,SGV_12N_00496,
422732,SGV_12N_00497,GREGORIAN:CE:1938
422733,SGV_12N_00498,GREGORIAN:CE:1938
422734,SGV_12N_00499,GREGORIAN:CE:1938
422735,SGV_12N_00500,GREGORIAN:CE:1938
422736,SGV_12N_00501,
422737,SGV_12N_00502,
422738,SGV_12N_00503,
422739,SGV_12N_00504,
422740,SGV_12N_00505,
422741,SGV_12N_00506,
422742,SGV_12N_00507,
422743,SGV_12N_00508,
422744,SGV_12N_00509,
422745,SGV_12N_00510,
422746,SGV_12N_00511,
422747,SGV_12N_00512,
422748,SGV_12N_00513,
422749,SGV_12N_00514,
422750,SGV_12N_00515,
422751,SGV_12N_00516,
422752,SGV_12N_00517,
422753,SGV_12N_00518,
422754,SGV_12N_00519,
422755,SGV_12N_00520,
422756,SGV_12N_00521,
422757,SGV_12N_00522,
422758,SGV_12N_00523,
422759,SGV_12N_00524,
422760,SGV_12N_00525,
422761,SGV_12N_00526,
422762,SGV_12N_00527,
422763,SGV_12N_00528,
422764,SGV_12N_00529,
422765,SGV_12N_00530,
422766,SGV_12N_00531,
422767,SGV_12N_00532,
422768,SGV_12N_00533,
422769,SGV_12N_00534,
422770,SGV_12N_00535,
422771,SGV_12N_00536,
422772,SGV_12N_00537,
422773,SGV_12N_00538,
422774,SGV_12N_00539,
422775,SGV_12N_00540,
422776,SGV_12N_00541,
422777,SGV_12N_00542,
422778,SGV_12N_00543,
422779,SGV_12N_00544,
422780,SGV_12N_00545,
422781,SGV_12N_00546,
422782,SGV_12N_00547,
422783,SGV_12N_00548,
422784,SGV_12N_00549,
422785,SGV_12N_00550,
422786,SGV_12N_00551,
422787,SGV_12N_00552,
422788,SGV_12N_00553,
422789,SGV_12N_00554,
422790,SGV_12N_00555,
422791,SGV_12N_00556,
422792,SGV_12N_00557,
422793,SGV_12N_00558,
422794,SGV_12N_00559,
422795,SGV_12N_00560,
422796,SGV_12N_00561,
422797,SGV_12N_00562,
422798,SGV_12N_00563,
422799,SGV_12N_00564,
422800,SGV_12N_00565,
422801,SGV_12N_00566,
422802,SGV_12N_00567,
422803,SGV_12N_00568,
422804,SGV_12N_00569,
422805,SGV_12N_00570,
422806,SGV_12N_00571,
422807,SGV_12N_00572,
422808,SGV_12N_00573,
422809,SGV_12N_00574,
422810,SGV_12N_00575,
422811,SGV_12N_00576,
422812,SGV_12N_00577,
422813,SGV_12N_00578,
422814,SGV_12N_00579,
422815,SGV_12N_00580,
422816,SGV_12N_00581,
422817,SGV_12N_00582,
422818,SGV_12N_00583,
422819,SGV_12N_00584,
422820,SGV_12N_00585,
422821,SGV_12N_00586,
422822,SGV_12N_00587,
422823,SGV_12N_00588,
422824,SGV_12N_00589,
422825,SGV_12N_00590,
422826,SGV_12N_00591,
422827,SGV_12N_00592,
422828,SGV_12N_00593,
422829,SGV_12N_00594,
422830,SGV_12N_00595,
422831,SGV_12N_00596,
422832,SGV_12N_00597,
422833,SGV_12N_00598,
422834,SGV_12N_00599,
422835,SGV_12N_00600,
422836,SGV_12N_00601,
422837,SGV_12N_00602,
422838,SGV_12N_00603,
422839,SGV_12N_00604,
422840,SGV_12N_00605,
422841,SGV_12N_00606,
422842,SGV_12N_00607,
422843,SGV_12N_00608,
422844,SGV_12N_00609,
422845,SGV_12N_00610,
422846,SGV_12N_00611,
422847,SGV_12N_00612,
422848,SGV_12N_00613,
422849,SGV_12N_00614,GREGORIAN:CE:1938
422850,SGV_12N_00615,
422851,SGV_12N_00616,GREGORIAN:CE:1938
422852,SGV_12N_00617,GREGORIAN:CE:1938
422853,SGV_12N_00618,GREGORIAN:CE:1938
422854,SGV_12N_00619,GREGORIAN:CE:1938
422855,SGV_12N_00620,GREGORIAN:CE:1938
422856,SGV_12N_00621,GREGORIAN:CE:1938
422857,SGV_12N_00622,GREGORIAN:CE:1938
422858,SGV_12N_00623,GREGORIAN:CE:1938
422859,SGV_12N_00624,GREGORIAN:CE:1938
422860,SGV_12N_00625,GREGORIAN:CE:1938
422861,SGV_12N_00626,GREGORIAN:CE:1938
422862,SGV_12N_00627,GREGORIAN:CE:1938
422863,SGV_12N_00628,GREGORIAN:CE:1938
422864,SGV_12N_00629,GREGORIAN:CE:1938
422865,SGV_12N_00630,GREGORIAN:CE:1938
422866,SGV_12N_00631,GREGORIAN:CE:1938
422867,SGV_12N_00632,GREGORIAN:CE:1938
422868,SGV_12N_00633,GREGORIAN:CE:1938
422869,SGV_12N_00634,GREGORIAN:CE:1938
422870,SGV_12N_00635,GREGORIAN:CE:1938
422871,SGV_12N_00636,GREGORIAN:CE:1938
422872,SGV_12N_00637,GREGORIAN:CE:1938
422873,SGV_12N_00638,GREGORIAN:CE:1938
422874,SGV_12N_00639,GREGORIAN:CE:1938
422875,SGV_12N_00640,GREGORIAN:CE:1938
422876,SGV_12N_00641,GREGORIAN:CE:1938
422877,SGV_12N_00642,GREGORIAN:CE:1938
422878,SGV_12N_00643,GREGORIAN:CE:1938
422879,SGV_12N_00644,GREGORIAN:CE:1938
422880,SGV_12N_00645,GREGORIAN:CE:1938
422881,SGV_12N_00646,GREGORIAN:CE:1938
422882,SGV_12N_00647,GREGORIAN:CE:1938
422883,SGV_12N_00648,GREGORIAN:CE:1938
422884,SGV_12N_00649,GREGORIAN:CE:1938
422885,SGV_12N_00650,GREGORIAN:CE:1938
422886,SGV_12N_00651,GREGORIAN:CE:1938
422887,SGV_12N_00652,GREGORIAN:CE:1938
422888,SGV_12N_00653,GREGORIAN:CE:1938
422889,SGV_12N_00654,GREGORIAN:CE:1938
422890,SGV_12N_00655,GREGORIAN:CE:1938
422891,SGV_12N_00656,GREGORIAN:CE:1938
422892,SGV_12N_00657,GREGORIAN:CE:1938
422893,SGV_12N_00658,GREGORIAN:CE:1938
422894,SGV_12N_00659,GREGORIAN:CE:1938
422895,SGV_12N_00660,GREGORIAN:CE:1938
422896,SGV_12N_00661,GREGORIAN:CE:1938
422897,SGV_12N_00662,GREGORIAN:CE:1938
422898,SGV_12N_00663,GREGORIAN:CE:1938
422899,SGV_12N_00664,GREGORIAN:CE:1938
422900,SGV_12N_00665,GREGORIAN:CE:1938
422901,SGV_12N_00666,GREGORIAN:CE:1938
422902,SGV_12N_00667,GREGORIAN:CE:1938
422903,SGV_12N_00668,GREGORIAN:CE:1938
422904,SGV_12N_00669,GREGORIAN:CE:1938
422905,SGV_12N_00670,GREGORIAN:CE:1938
422906,SGV_12N_00671,GREGORIAN:CE:1938
422907,SGV_12N_00672,GREGORIAN:CE:1938
422908,SGV_12N_00673,GREGORIAN:CE:1938
422909,SGV_12N_00674,GREGORIAN:CE:1938
422910,SGV_12N_00675,GREGORIAN:CE:1938
422911,SGV_12N_00676,GREGORIAN:CE:1938
422912,SGV_12N_00677,GREGORIAN:CE:1938
422913,SGV_12N_00678,GREGORIAN:CE:1938
422914,SGV_12N_00679,GREGORIAN:CE:1938
422915,SGV_12N_00680,GREGORIAN:CE:1938
422916,SGV_12N_00681,
422917,SGV_12N_00682,GREGORIAN:CE:1938
422918,SGV_12N_00683,
422919,SGV_12N_00684,
422920,SGV_12N_00685,
422921,SGV_12N_00686,
422922,SGV_12N_00687,GREGORIAN:CE:1938
422923,SGV_12N_00688,GREGORIAN:CE:1938
422924,SGV_12N_00689,GREGORIAN:CE:1938
422925,SGV_12N_00690,GREGORIAN:CE:1938
422926,SGV_12N_00691,GREGORIAN:CE:1938
422927,SGV_12N_00692,GREGORIAN:CE:1938
422928,SGV_12N_00693,GREGORIAN:CE:1938
422929,SGV_12N_00694,GREGORIAN:CE:1938
422930,SGV_12N_00695,GREGORIAN:CE:1938
422931,SGV_12N_00696,GREGORIAN:CE:1938
422932,SGV_12N_00697,GREGORIAN:CE:1938
422933,SGV_12N_00698,GREGORIAN:CE:1938
422934,SGV_12N_00699,
422935,SGV_12N_00700,
422936,SGV_12N_00701,
422937,SGV_12N_00702,
422938,SGV_12N_00703,
422939,SGV_12N_00704,GREGORIAN:CE:1938
422940,SGV_12N_00705,GREGORIAN:CE:1938
422941,SGV_12N_00706,GREGORIAN:CE:1938
422942,SGV_12N_00707,
422943,SGV_12N_00708,GREGORIAN:CE:1938
422944,SGV_12N_00709,
422945,SGV_12N_00710,GREGORIAN:CE:1938
422946,SGV_12N_00711,GREGORIAN:CE:1938
422947,SGV_12N_00712,GREGORIAN:CE:1938
422948,SGV_12N_00713,GREGORIAN:CE:1938
422949,SGV_12N_00714,GREGORIAN:CE:1938
422950,SGV_12N_00715,GREGORIAN:CE:1938
422951,SGV_12N_00716,GREGORIAN:CE:1938
422952,SGV_12N_00717,GREGORIAN:CE:1938
422953,SGV_12N_00718,GREGORIAN:CE:1938
422954,SGV_12N_00719,GREGORIAN:CE:1938
422955,SGV_12N_00720,GREGORIAN:CE:1938
422956,SGV_12N_00721,GREGORIAN:CE:1938
422957,SGV_12N_00722,GREGORIAN:CE:1938
422958,SGV_12N_00723,GREGORIAN:CE:1938
422959,SGV_12N_00724,GREGORIAN:CE:1938
422960,SGV_12N_00725,GREGORIAN:CE:1938
422961,SGV_12N_00726,
422962,SGV_12N_00727,
422963,SGV_12N_00728,
422964,SGV_12N_00729,
422965,SGV_12N_00730,
422966,SGV_12N_00731,
422967,SGV_12N_00732,
422968,SGV_12N_00733,GREGORIAN:CE:1945
422969,SGV_12N_00734,GREGORIAN:CE:1945
422970,SGV_12N_00735,GREGORIAN:CE:1945
422971,SGV_12N_00736,
422972,SGV_12N_00737,
422973,SGV_12N_00738,
422974,SGV_12N_00739,
422975,SGV_12N_00740,
422976,SGV_12N_00741,
422977,SGV_12N_00742,
422978,SGV_12N_00743,
422979,SGV_12N_00744,
422980,SGV_12N_00745,GREGORIAN:CE:1945
422981,SGV_12N_00746,GREGORIAN:CE:1945
422982,SGV_12N_00747,
422983,SGV_12N_00748,
422984,SGV_12N_00749,
422985,SGV_12N_00750,
422986,SGV_12N_00751,
422987,SGV_12N_00752,
422988,SGV_12N_00753,
422989,SGV_12N_00754,
