asv id,latitude,longitude,name,desc,color,source,precision
82,47.113691,7.084579,Nods,"Nods, BERN - BERNE, CH",,MapQuest,city/town
83,47.111833,6.838226,La Chaux-de-Fonds,"La Chaux-De-Fonds, NEUCHÂTEL, CH",,MapQuest,city/town
84,47.151775,6.997197,St-Imier,"Saint-Imier, BERN - BERNE, CH",,MapQuest,city/town
85,47.196789,7.170578,Sonceboz,"Sonceboz-Sombeval, BERN - BERNE, CH",,MapQuest,city/town
86,47.235771,7.224765,Reconvilier,"Reconvilier, BERN - BERNE, CH",,MapQuest,city/town
87,47.223677,7.103022,Tramelan-Dessus,"Tramelan, BERN - BERNE, CH",,MapQuest,city/town
88,47.2558,6.996359,Saignelégier,"Saignelégier, JURA, CH",,MapQuest,city/town
89,47.303311,7.224096,Undervelier,"Undervelier, JURA, CH",,MapQuest,city/town
90,47.279614,7.370419,Moutier,"Moutier, BERN - BERNE, CH",,MapQuest,city/town
91,47.338851,7.515419,Mervelier,"Mervelier, JURA, CH",,MapQuest,city/town
92,47.361961,7.354039,Delémont,"Delémont, JURA, CH",,MapQuest,city/town
93,47.337022,7.24424,Bassecourt,"Bassecourt, JURA, CH",,MapQuest,city/town
94,47.349307,7.120853,St-Ursanne,"Clos du Doubs, JURA, CH",,MapQuest,city/town
95,47.417049,7.07578,Porrentruy,"Porrentruy, JURA, CH",,MapQuest,city/town
96,47.373123,6.896769,Damvant,"Damvant, JURA, CH",,MapQuest,city/town
97,47.498184,7.012558,Boncourt,"Boncourt, JURA, CH",,MapQuest,city/town
98,47.476701,7.152302,Bonfol,"Bonfol, JURA, CH",,MapQuest,city/town
99,47.558108,7.587826,Basel,"Basel, BASEL-CITY, CH",,MapQuest,city/town
100,47.554386,7.792291,Rheinfelden,"Rheinfelden, ARGOVIA, CH",,MapQuest,city/town
101,47.19917,9.228339,Stein,"Stein, ST. GALLEN, CH",,MapQuest,city/town
102,47.560462,8.06017,Laufenburg,"Laufenburg, ARGOVIA, CH",,MapQuest,city/town
103,47.507508,8.020307,Frick,"Frick, ARGOVIA, CH",,MapQuest,city/town
104,47.519201,7.694474,Pratteln,"Pratteln, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
105,47.498317,7.561237,Therwil,"Therwil, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
106,47.481348,7.622783,Dornach,"Dornach, SOLOTHURN, CH",,MapQuest,city/town
107,47.483972,7.734778,Liestal,"Liestal, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
108,47.463477,7.812564,Sissach,"Sissach, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
109,47.440539,7.907641,Wenslingen,"Wenslingen, BASEL-LANDSCHAFT, CH",,MapQuest,city/town
110,47.43671,8.099952,Thalheim,"Thalheim, ARGOVIA, CH",,MapQuest,city/town
111,47.44735,8.13773,Schinznach,"Schinznach, CH",,MapQuest,city/town
112,47.392715,8.044445,Aarau,"Aarau, ARGOVIA, CH",,MapQuest,city/town
113,47.363788,7.967003,Gösgen,"Kraftwerkstrasse, Däniken, Amtei Olten-Gösgen, Solothurn, CH",,MapQuest,address
